id,english,source_file
guidebook-window-title,Guidebook,Resources/Locale/en-US/Guidebook/guidebook.ftl
guidebook-placeholder-text,Select an entry.,Resources/Locale/en-US/Guidebook/guidebook.ftl
guidebook-placeholder-text-2,"If you're new, head over to ""New? Start here!""",Resources/Locale/en-US/Guidebook/guidebook.ftl
guidebook-filter-placeholder-text,Filter items,Resources/Locale/en-US/Guidebook/guidebook.ftl
guidebook-parser-error,Parser Error,Resources/Locale/en-US/Guidebook/guidebook.ftl
guidebook-error-message,Error Message,Resources/Locale/en-US/Guidebook/guidebook.ftl
guidebook-monkey-unspin,Unspin Monkey,Resources/Locale/en-US/Guidebook/guidebook.ftl
guidebook-monkey-disco,Disco Monkey,Resources/Locale/en-US/Guidebook/guidebook.ftl
guidebook-microwave-ingredients-header,Ingredients,Resources/Locale/en-US/Guidebook/cooking.ftl
guidebook-microwave-cook-time-header,Cooking Time,Resources/Locale/en-US/Guidebook/cooking.ftl
guidebook-microwave-cook-time,,Resources/Locale/en-US/Guidebook/cooking.ftl
guidebook-microwave-reagent-color-display,[color={$color}]■[/color],Resources/Locale/en-US/Guidebook/cooking.ftl
guidebook-microwave-reagent-name-display,[bold]{$reagent}[/bold],Resources/Locale/en-US/Guidebook/cooking.ftl
guidebook-microwave-reagent-quantity-display,× {$amount}u,Resources/Locale/en-US/Guidebook/cooking.ftl
guidebook-microwave-solid-name-display,[bold]{$ingredient}[/bold],Resources/Locale/en-US/Guidebook/cooking.ftl
guidebook-microwave-solid-quantity-display,× {$amount},Resources/Locale/en-US/Guidebook/cooking.ftl
guide-entry-ss14,Station and Shifts,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-engineering,Engineering,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-construction,Construction,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-expandingrepairingstation,Expanding and Repairing Stations,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-airlock-security,Airlock Upgrades,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-wirepanels,Wire Panels,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-airlocks,Airlocks,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-atmospherics,Atmospherics,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-pipes,Pipes,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-pumps,Pumps,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-gasmanipulation,Gas Manipulation,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-atmosphereinout,Atmosphere In/Out,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-airvent,Air Vent,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-passivevent,Passive Vent,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-airinjector,Air Injector,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-airscrubber,Air Scrubber,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-portablescrubber,Portable Scrubber,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-valves,Valves,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-manualvalve,Manual Valve,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-signalvalve,Signal Valve,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-pneumaticvalve,Pneumatic Valve,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-passivegate,Passive Gate,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-ressureregulator,Pressure Regulator,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-mixingandfiltering,Mixing and Filtering,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-gascanisters,Gas Canisters,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-thermomachines,Thermomachines,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-gascondensing,Gas Condensing,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-gasrecycling,Gas Recycling,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-radiators,Radiators,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-atmosphericssystems,Atmospherics Systems,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-pipenetworks,Pipe Networks,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-devicemonitoringandcontrol,Device Monitoring and Control,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-airalarms,Air Alarms,Resources/Locale/en-US/Guidebook/guides.ftl
guide-entry-atmosphericalertscomputer,Atmospheric Alerts Computer,Resources/Locale/en-US/Guidebook/guides.ftl
